name,transect,elevation,latitude,longitude,distance,longitude_dd,latitude_dd,year
coggrtr3pro34,3,0.834,41.39247449,-71.20486651,68.58405252,-71.34685141666667,41.656873583333336,2016
coggrtr3pro35,3,0.818,41.39247905,-71.20486537,69.93660304,-71.34684825,41.65688625,2016
coggrtr3pro36,3,0.855,41.39248416,-71.20486354,71.51798094,-71.34684316666667,41.656900444444446,2016
coggrtr3pro37,3,0.864,41.39248886,-71.20485993,73.19056137,-71.34683313888888,41.6569135,2016
coggrtr3pro38,3,0.874,41.39249321,-71.20485679,74.71565123,-71.34682441666666,41.65692558333333,2016
coggrtr3pro39,3,0.878,41.39249757,-71.20485362,76.2490065,-71.34681561111111,41.656937694444444,2016
coggrtr3pro40,3,0.872,41.39250285,-71.20485053,78.01933228,-71.34680702777777,41.65695236111111,2016
coggrtr3pro41,3,0.861,41.39250767,-71.20484654,79.76815475,-71.34679594444444,41.65696575,2016
coggrtr3pro42,3,0.809,41.39251298,-71.20484454,81.42666471,-71.34679038888889,41.6569805,2016
coggrtr3pro43,3,0.853,41.39251752,-71.2048412,83.02580143,-71.34678111111111,41.65699311111111,2016
coggrtr3pro44,3,0.913,41.39252242,-71.20483674,84.84742453,-71.34676872222222,41.65700672222222,2016
coggrtr3pro45,3,0.906,41.39252727,-71.20483231,86.65336171,-71.34675641666666,41.65702019444444,2016
coggrtr3pro46,3,0.878,41.3925309,-71.20482696,88.23668732,-71.34674155555555,41.65703027777778,2016
coggrtr3pro47,3,0.872,41.39253567,-71.20482412,89.8400783,-71.34673366666667,41.65704352777778,2016
coggrtr3pro48,3,0.904,41.39254053,-71.20482064,91.5415808,-71.346724,41.657057027777775,2016
coggrtr3pro49,3,0.923,41.39254562,-71.20481738,93.28109961,-71.34671494444444,41.65707116666667,2016
coggrtr3pro50,3,0.948,41.39255091,-71.20481381,95.10954804,-71.34670502777777,41.65708586111111,2016
coggrtr3pro51,3,0.96,41.3925564,-71.20481082,96.92543087,-71.34669672222222,41.65710111111111,2016
coggrtr3pro52,3,0.951,41.39256152,-71.20480804,98.61879722,-71.346689,41.65711533333333,2016
coggrtr3pro53,3,0.969,41.39256649,-71.20480551,100.2435699,-71.34668197222223,41.65712913888889,2016
coggrtr3pro54,3,0.955,41.39257165,-71.20480201,102.0292754,-71.34667225,41.657143472222224,2016
coggrtr3pro55,3,0.981,41.39257659,-71.20479821,103.7871185,-71.34666169444445,41.657157194444444,2016
coggrtr3pro56,3,0.965,41.39258289,-71.20479526,105.8179707,-71.3466535,41.65717469444444,2016
coggrtr3pro57,3,0.981,41.39258745,-71.20479196,107.4202188,-71.34664433333333,41.65718736111111,2016
coggrtr3pro58,3,0.98,41.39259203,-71.2047887,109.0225633,-71.34663527777778,41.657200083333336,2016
coggrtr3pro59,3,0.984,41.39259649,-71.2047852,110.6196221,-71.34662555555556,41.65721247222222,2016
coggrtr3pro60,3,0.968,41.39260196,-71.20478114,112.5505779,-71.34661427777777,41.657227666666664,2016
coggrtr3pro61,3,0.941,41.39260594,-71.20477696,114.0893969,-71.34660266666667,41.657238722222225,2016
coggrtr3pro62,3,0.999,41.39261082,-71.20477412,115.7281801,-71.34659477777778,41.65725227777778,2016
coggrtr3pro63,3,0.986,41.39261624,-71.20477069,117.5734118,-71.34658525,41.65726733333333,2016
coggrtr3pro64,3,0.985,41.39262105,-71.2047669,119.2969189,-71.34657472222223,41.657280694444445,2016
coggrtr3pro65,3,0.998,41.39262592,-71.20476279,121.0721023,-71.34656330555555,41.65729422222222,2016
coggrtr3pro66,3,0.982,41.39263009,-71.20475902,122.6183125,-71.34655283333333,41.65730580555555,2016
coggrtr3pro67,3,0.995,41.39263561,-71.20475524,124.5347602,-71.34654233333333,41.65732113888889,2016
coggrtr3pro68,3,0.999,41.3926415,-71.20475183,126.5049099,-71.34653286111111,41.6573375,2016
coggrtr3pro69,3,0.992,41.3926467,-71.20474869,128.2619985,-71.3465241388889,41.65735194444444,2016
coggrtr3pro70,3,1.007,41.39265163,-71.20474552,129.9492122,-71.34651533333333,41.65736563888889,2016
coggrtr3pro71,3,0.996,41.39265633,-71.20474158,131.6586342,-71.34650438888889,41.657378694444446,2016
coggrtr3pro72,3,0.959,41.39266097,-71.20473797,133.3154214,-71.34649436111111,41.657391583333336,2016
coggrtr3pro73,3,0.986,41.39266605,-71.20473537,134.9796303,-71.34648713888889,41.65740569444444,2016
coggrtr3pro74,3,1.004,41.39267154,-71.20473324,136.7036741,-71.34648122222222,41.657420944444446,2016
coggrtr3pro75,3,1.007,41.39267658,-71.20473091,138.3271256,-71.34647475,41.65743494444445,2016
coggrtr3pro76,3,1.007,41.39268154,-71.20472838,139.9516362,-71.34646772222223,41.65744872222222,2016
coggrtr3pro77,3,1.085,41.39268667,-71.20472647,141.5546967,-71.34646241666667,41.65746297222222,2016
coggrtr3pro78,3,1.084,41.39269136,-71.20472273,143.239694,-71.34645202777777,41.657476,2016
