name,transect,elevation,latitude,longitude,distance
tr1pro1,1,-0.295983,41.655353805555556,-71.34572769444445,1.977456811
tr1pro2,1,-0.058099,41.655364472222224,-71.34572463888888,3.16609615
tr1pro3,1,0.1276,41.65537327777778,-71.34572247222222,4.147692931
tr1pro4,1,0.231197,41.65538380555556,-71.34571836111111,5.363318543
tr1pro5,1,0.33662,41.65539238888889,-71.34571205555555,6.438123891
tr1pro6,1,0.568956,41.65540311111111,-71.34570613888889,7.724833737
tr1pro7,1,0.695628,41.65541405555555,-71.34569966666666,9.05089695
tr1pro8,1,0.800381,41.655427,-71.34569608333334,10.50365332
tr1pro9,1,0.812851,41.655438583333336,-71.34569052777778,11.87349754
tr1pro10,1,0.808946,41.655448138888886,-71.34568472222222,13.03450338
tr1pro11,1,0.801742,41.65546025,-71.34567902777778,14.46158268
tr1pro12,1,0.807632,41.655472555555555,-71.34567183333333,15.94935979
tr1pro13,1,0.808056,41.65547266666667,-71.34567194444445,15.95993021
tr1pro14,1,0.81066,41.655483333333336,-71.34566597222222,17.24273192
tr1pro15,1,0.807184,41.65549388888889,-71.34566138888889,18.47432664
tr1pro16,1,0.738229,41.655504,-71.34565661111111,19.66676384
tr1pro17,1,0.721873,41.65551488888889,-71.34565222222223,20.926203309999998
tr1pro18,1,0.721916,41.655521722222225,-71.34565011111111,21.699178
tr1pro19,1,0.719242,41.65553172222222,-71.3456425,22.96052385
tr1pro20,1,0.736382,41.65554291666667,-71.34563847222222,24.24454827
tr1pro21,1,0.735049,41.655552972222225,-71.34563286111111,25.45171327
tr1pro22,1,0.72057,41.65556316666667,-71.34562888888888,26.62833211
tr1pro23,1,0.687715,41.65557208333333,-71.34562311111111,27.72416586
tr1pro24,1,0.708777,41.655583694444445,-71.34561766666667,29.09176276
tr1pro25,1,0.734257,41.65559508333333,-71.34561091666667,30.47375056
tr1pro26,1,0.735293,41.65560683333333,-71.34560633333334,31.83119338
tr1pro27,1,0.719333,41.65561619444444,-71.3456021111111,32.92667285
tr1pro28,1,0.695475,41.65562608333333,-71.34559677777777,34.11062865
tr1pro29,1,0.681336,41.655638527777775,-71.34559080555556,35.57903573
tr1pro30,1,0.680217,41.655650333333334,-71.34558427777777,36.99983846
tr1pro31,1,0.672296,41.65566425,-71.34557666666667,38.66950981
tr1pro32,1,0.64816,41.655676444444445,-71.34557205555555,40.07311727
tr1pro33,1,0.665605,41.655686277777775,-71.34556677777778,41.24738318
tr1pro34,1,0.647035,41.655690722222225,-71.34556308333333,41.81819538
tr1pro35,1,0.523189,41.65570019444444,-71.3455568888889,42.98616371
tr1pro36,1,0.375039,41.65571147222222,-71.34555347222222,44.25810075
tr1pro37,1,0.498906,41.655721972222224,-71.34554775,45.51656503
tr1pro38,1,0.565307,41.65573311111111,-71.34554327777778,46.806849389999996
tr1pro39,1,0.602851,41.655746,-71.345537,48.33027728
tr1pro40,1,0.613116,41.655756583333336,-71.34553169444445,49.58521895
tr1pro41,1,0.667621,41.655765861111114,-71.34552841666667,50.64764062
tr1pro42,1,0.669051,41.65577561111111,-71.34552269444444,51.82914627
tr1pro43,1,0.631257,41.65578705555556,-71.34551830555556,53.14673519
tr1pro44,1,0.654329,41.655788666666666,-71.34551580555555,53.38773016
tr1pro45,1,0.693677,41.65580058333333,-71.34551058333334,54.78022004
tr1pro46,1,0.685682,41.655811416666666,-71.34550455555555,56.08167799
tr1pro47,1,0.702278,41.65582191666667,-71.34549933333334,57.32814231
tr1pro48,1,0.710065,41.655833083333334,-71.34549441666667,58.63233177
tr1pro49,1,0.726503,41.65584419444444,-71.34548891666667,59.9470918
tr1pro50,1,0.760729,41.65585452777778,-71.34548433333333,61.15630307
tr1pro51,1,0.743831,41.65586019444444,-71.345483,61.78589862
tr1pro52,1,0.771083,41.65586913888889,-71.3454771388889,62.88718091
tr1pro53,1,0.77664,41.655881111111114,-71.34546936111111,64.35887336
tr1pro54,1,0.780103,41.65589163888889,-71.34546402777778,65.60885678
tr1pro55,1,0.795244,41.655902777777776,-71.34545808333333,66.94184451
tr1pro56,1,0.802527,41.65591227777778,-71.34545413888888,68.04601987
tr1pro57,1,0.826675,41.65592427777778,-71.34544830555555,69.46429854
tr1pro58,1,0.868134,41.65593694444444,-71.34544094444445,70.99790604
tr1pro59,1,0.88614,41.65594775,-71.345436,72.26362674
tr1pro60,1,0.902445,41.65595880555556,-71.34543241666667,73.52006484
tr1pro61,1,0.929334,41.65596655555556,-71.34542838888889,74.44389399
tr1pro62,1,0.947152,41.655969999999996,-71.34542805555556,74.81131712
tr2pro1,2,0.025788,41.65584880555556,-71.34669638888889,2.175186777
tr2pro2,2,0.151329,41.65585922222222,-71.34668644444444,3.594751614
