well_num,name,long,lat
1,Behind Phrag,-71.34588,41.65665888888889
2,T3,-71.34754055555555,41.65690166666667
3,Before Phrag,-71.34603166666666,41.65612194444444
4,Berm,-71.345355,41.65555944444444
